"","resp_id_2016","resp_id_2020","age","gender","race_6","educ_8","educ_5","pid_7","ideo_7","region_4","state","marital_stat","income_family","immigrants_change6","environment_regulation7","defense_spending7","religion_imporatnce5","traditional_values5","protect_homosexuals","abortion_allowed4","death_penalty4","gun_control3","gun_control_importance5","trust_ppl5","understanding_poli_issue5","vote_2020","age_group","educ_4","race_4","pid_3"
"20",406042,200244,80,2,1,2,2,2,3,2,"WI",3,5,3,4,4,1,2,1,2,4,1,2,2,4,1,7,2,1,1
"21",401110,200268,31,1,3,7,5,7,6,1,"PA",6,12,4,3,6,3,2,1,4,2,3,1,3,2,2,2,4,3,3
"22",405689,200275,80,2,3,1,1,1,4,4,"CA",3,6,2,2,1,2,3,1,3,4,1,1,4,3,1,7,1,3,1
"23",302430,200282,24,1,1,6,4,3,2,1,"NY",6,21,1,1,1,5,4,1,4,4,1,3,3,2,1,1,4,1,1
"24",406018,200305,55,1,1,7,5,7,6,4,"AZ",1,15,3,7,NA,1,3,1,2,1,3,4,3,3,NA,5,4,1,3
"25",402370,200312,59,2,3,1,1,2,NA,4,"CA",1,6,1,1,2,2,1,1,2,1,3,1,2,2,NA,5,1,3,1
"26",300344,200329,73,1,1,6,4,1,2,3,"GA",1,5,2,2,4,4,3,1,4,3,3,3,2,4,1,6,4,1,1
"27",405960,200343,72,2,1,1,1,5,NA,3,"NC",3,5,3,6,6,1,2,1,2,3,3,2,2,3,2,6,1,1,3
"28",302078,200374,50,1,1,6,4,5,5,3,"VA",1,20,3,3,4,5,2,1,4,2,3,4,3,4,2,4,4,1,3
"29",400772,200381,66,1,1,8,5,6,5,1,"NY",1,22,2,1,5,3,3,1,4,4,1,1,2,1,1,6,4,1,3
"30",402771,200404,41,1,3,2,2,1,4,4,"AZ",1,15,4,4,NA,4,2,1,4,1,1,2,4,3,1,3,2,3,1
"31",403878,200411,52,2,4,2,2,4,NA,4,"HI",5,1,2,NA,NA,2,4,1,3,1,3,2,5,5,2,4,2,4,2
"32",401918,200435,45,1,5,3,3,4,4,4,"CO",4,13,3,1,1,5,3,1,4,4,3,5,3,1,NA,4,3,4,2
"33",302245,200442,46,2,1,7,5,1,2,4,"ID",6,4,4,1,2,5,4,1,NA,2,1,3,2,2,1,4,4,1,1
"34",403773,200459,66,1,1,6,4,7,6,2,"WI",1,20,3,5,5,3,1,1,2,1,2,3,2,2,2,6,4,1,3
"35",406306,200466,60,2,1,8,5,2,2,1,"NY",4,20,1,1,4,3,4,1,4,4,1,1,2,3,1,5,4,1,1
"36",301158,200473,73,2,1,6,4,7,NA,3,"TX",1,10,3,NA,5,1,2,1,2,1,3,3,2,3,2,6,4,1,3
"37",403887,200480,71,2,2,5,3,1,NA,2,"IL",1,9,2,6,4,1,4,2,1,4,1,2,3,2,NA,6,3,2,1
"38",406774,200497,28,2,1,8,5,3,1,2,"OH",6,3,2,2,3,5,5,1,4,4,1,4,3,2,1,2,4,1,1
"39",403669,200503,73,2,1,7,5,1,1,3,"AR",1,8,2,1,1,5,1,1,4,4,1,1,2,1,1,6,4,1,1
"40",404719,200510,NA,1,1,6,4,7,6,3,"GA",1,NA,3,5,4,3,2,1,NA,4,2,1,2,1,2,NA,4,1,3
"41",404941,200527,37,2,1,6,4,7,6,3,"TX",1,19,3,4,NA,2,2,1,NA,2,1,4,2,4,2,3,4,1,3
"42",403410,200534,56,2,2,5,3,1,4,1,"PA",6,4,1,3,NA,1,3,1,1,4,1,2,2,3,1,5,3,2,1
"43",401603,200541,48,1,1,7,5,7,7,4,"NM",4,10,5,7,5,4,1,1,2,1,2,3,4,2,2,4,4,1,3
"44",301141,200558,53,2,1,6,4,7,7,2,"KS",1,19,1,7,6,3,1,2,3,1,3,1,4,2,2,4,4,1,3
"45",300237,200565,72,2,1,5,3,5,3,4,"CA",4,22,4,4,4,4,3,1,NA,3,1,2,2,4,2,6,3,1,3
"46",401807,200589,55,1,1,2,2,7,6,2,"MO",1,1,5,7,6,2,3,1,4,1,2,1,3,3,2,5,2,1,3
"47",300968,200596,79,1,1,4,3,1,2,1,"PA",3,10,3,2,3,2,1,1,3,1,3,3,4,3,1,7,3,1,1
"48",406492,200602,38,1,1,6,4,3,3,2,"MN",1,21,2,1,3,5,4,1,4,4,1,3,2,4,1,3,4,1,1
"49",404362,200626,42,2,4,6,4,7,4,4,"CA",6,12,3,4,4,2,1,1,1,4,1,3,2,3,2,3,4,4,3
"50",404851,200633,70,1,1,7,5,3,6,2,"MO",1,15,2,3,3,3,2,1,4,1,1,1,2,1,1,6,4,1,1
"51",406940,200640,50,2,5,4,3,1,4,3,"TX",NA,NA,3,1,4,1,2,1,4,4,1,1,3,3,NA,4,3,4,1
"52",405439,200671,50,2,2,7,5,1,2,3,"VA",6,NA,1,1,4,3,5,1,4,3,1,1,2,3,1,4,4,2,1
"53",404150,200688,27,2,1,1,1,4,4,2,"OH",1,1,NA,5,3,2,NA,1,1,1,NA,NA,4,NA,1,2,1,1,2
"54",403653,200695,62,1,1,2,2,7,NA,3,"KY",6,1,5,NA,NA,1,3,1,1,1,3,2,3,3,NA,5,2,1,3
"55",406609,200701,51,2,NA,5,3,4,4,1,"PA",1,NA,3,7,6,1,1,2,3,1,3,1,2,2,NA,4,3,NA,2
"56",300467,200718,60,1,1,3,3,7,6,4,"AZ",1,15,NA,5,4,3,NA,1,NA,1,NA,NA,4,NA,2,5,3,1,3
"57",300121,200725,65,2,1,7,5,1,3,3,"GA",4,9,4,3,5,1,2,1,2,4,1,2,2,2,1,6,4,1,1
"58",403500,200732,NA,1,1,7,5,3,3,1,"NY",6,21,2,3,3,4,2,1,4,3,1,2,3,1,1,NA,4,1,1
"59",300488,200749,48,1,1,2,2,6,4,2,"OH",4,9,4,5,NA,4,3,2,2,2,3,3,4,3,1,4,2,1,3
"60",407192,200756,55,1,1,2,2,5,6,3,"TX",1,13,4,4,5,2,2,1,3,3,3,3,3,3,2,5,2,1,3
"61",401153,200763,54,1,1,6,4,4,5,2,"IL",1,19,2,3,1,3,3,1,4,3,1,4,2,3,1,4,4,1,2
"62",400833,200770,38,2,1,7,5,2,4,4,"MT",1,13,3,1,4,5,4,2,4,2,3,4,4,3,1,3,4,1,1
"63",301697,200787,80,1,1,8,5,1,2,3,"TN",1,10,1,1,4,2,2,1,3,3,1,1,2,1,1,7,4,1,1
"64",402480,200794,37,2,6,7,5,2,2,3,"LA",1,15,1,1,2,3,3,1,NA,4,1,1,3,2,1,3,4,4,1
"65",405021,200800,38,1,1,6,4,3,2,1,"NJ",1,22,3,1,1,4,3,1,4,3,1,3,2,2,1,3,4,1,1
"66",400006,200817,60,1,1,4,3,5,4,4,"CA",1,11,5,1,7,3,2,1,4,1,3,1,3,2,1,5,3,1,3
"67",401757,200824,46,1,6,3,3,3,5,4,"CA",4,14,3,1,6,2,2,1,2,3,1,3,3,3,1,4,3,4,1
"68",302522,200831,78,2,1,7,5,1,1,4,"CA",1,17,1,1,1,5,5,1,4,4,1,1,2,1,1,7,4,1,1
"69",407639,200855,39,2,1,8,5,1,2,4,"CO",1,16,1,1,2,1,2,1,4,4,1,3,2,2,1,3,4,1,1
"70",407446,200862,33,2,2,8,5,2,2,2,"IL",6,11,3,3,3,3,4,1,4,4,1,2,2,2,1,2,4,2,1
"71",403634,200879,74,2,1,7,5,1,2,4,"CA",4,1,3,1,NA,2,3,1,3,3,1,2,2,3,1,6,4,1,1
"72",301500,200886,61,2,1,4,3,2,3,2,"MN",3,10,5,5,4,2,1,1,4,3,3,2,2,3,1,5,3,1,1
"73",301917,200893,67,2,1,3,3,1,NA,2,"MN",4,6,2,1,5,4,2,1,4,1,1,2,2,3,NA,6,3,1,1
"74",400440,200909,60,2,1,2,2,2,NA,1,"PA",4,13,4,3,3,4,2,1,4,1,1,2,4,3,1,5,2,1,1
"75",403801,200916,NA,1,1,3,3,7,6,1,"PA",1,17,4,3,7,4,1,1,2,1,3,2,2,2,2,NA,3,1,3
"76",406225,200947,21,1,2,3,3,4,NA,2,"IN",6,6,2,5,3,4,2,2,1,3,2,4,3,3,NA,1,3,2,2
"77",403796,200954,49,2,2,1,1,1,4,1,"NY",1,1,3,1,6,3,2,1,2,3,1,1,4,3,1,4,1,2,1
"78",401958,200985,80,1,1,7,5,1,2,1,"PA",1,16,2,1,4,5,1,1,4,1,1,1,2,3,1,7,4,1,1
"79",401001,201001,70,1,1,3,3,5,4,3,"FL",1,6,2,4,5,3,1,1,3,1,3,4,1,2,2,6,3,1,3
"80",300406,201025,70,2,1,2,2,1,5,3,"TX",3,NA,2,3,7,2,1,1,4,3,1,5,3,4,1,6,2,1,1
"81",401428,201032,72,1,1,6,4,5,5,3,"OK",1,18,3,5,5,1,1,1,3,2,3,3,2,2,2,6,4,1,3
"82",404756,201063,78,2,1,3,3,7,7,4,"AZ",1,10,4,7,6,1,1,2,2,1,3,1,2,2,2,7,3,1,3
"83",403620,201070,43,2,1,6,4,1,2,3,"DE",4,10,2,1,NA,1,1,1,3,4,3,5,4,3,1,3,4,1,1
"84",302812,201087,45,2,2,3,3,4,NA,3,"DC",6,3,3,2,3,1,4,1,3,3,1,1,4,2,1,4,3,2,2
"85",406661,201094,44,2,1,6,4,2,3,2,"IN",1,21,3,2,4,3,5,1,3,3,1,1,3,2,1,3,4,1,1
"86",402397,201100,50,2,3,4,3,1,4,4,"NV",6,6,3,1,NA,2,4,1,4,1,3,1,4,2,1,4,3,3,1
"87",400418,201117,NA,2,1,7,5,4,4,3,"FL",1,NA,4,2,5,5,2,1,4,2,1,2,3,4,1,NA,4,1,2
"88",401039,201124,33,2,1,6,4,3,3,3,"WV",1,15,3,2,4,5,4,1,4,3,3,3,3,4,1,2,4,1,1
"89",401457,201131,55,2,1,2,2,7,NA,1,"MA",1,14,3,3,6,2,3,1,3,1,3,4,4,3,2,5,2,1,3
"90",301605,201155,28,2,1,6,4,6,5,2,"OH",1,20,4,4,4,4,2,1,4,1,1,4,2,3,2,2,4,1,3
"91",404947,201179,34,2,1,7,5,7,5,3,"VA",6,22,5,5,3,2,2,1,4,1,3,4,2,4,2,2,4,1,3
"92",405933,201186,24,2,1,6,4,7,2,4,"AZ",6,20,3,2,NA,4,4,1,NA,3,3,3,2,4,2,1,4,1,3
"93",301953,201193,26,2,1,4,3,7,7,3,"OK",4,2,2,6,5,1,1,1,1,2,3,2,2,1,2,2,3,1,3
"94",406794,201209,75,1,1,2,2,1,3,2,"OH",3,7,2,2,5,4,2,1,4,3,1,3,2,3,1,7,2,1,1
"95",401094,201216,61,1,5,6,4,4,5,4,"HI",1,13,3,5,5,5,2,2,4,1,3,3,3,1,2,5,4,4,2
"96",402726,201223,80,2,1,7,5,7,6,3,"TX",3,22,2,5,7,1,1,1,2,1,2,1,2,3,2,7,4,1,3
"97",401539,201230,58,1,1,3,3,3,3,1,"MA",1,18,3,3,3,5,1,1,3,3,1,1,3,1,1,5,3,1,1
"98",403670,201247,50,2,3,6,4,2,4,3,"GA",6,12,2,1,4,3,5,1,4,2,1,1,2,2,1,4,4,3,1
"99",407078,201254,76,2,1,6,4,1,3,3,"SC",3,6,2,2,4,5,5,1,4,3,1,1,2,2,1,7,4,1,1
"100",404060,201261,80,2,1,3,3,4,4,4,"WA",3,9,3,3,6,1,2,1,4,2,1,2,2,3,1,7,3,1,2
"101",403407,201278,48,2,6,2,2,1,2,1,"PA",6,1,5,2,NA,2,5,1,3,1,1,1,2,5,NA,4,2,4,1
"102",403940,201285,61,2,1,2,2,4,3,1,"PA",1,17,5,2,2,5,5,1,4,1,3,5,3,4,NA,5,2,1,2
"103",402321,201292,45,2,1,7,5,1,2,4,"CA",4,17,2,NA,2,5,5,1,4,1,1,2,2,3,1,4,4,1,1
"104",302757,201322,37,2,1,4,3,7,6,4,"ID",1,7,3,NA,NA,1,1,NA,2,3,3,1,3,2,2,3,3,1,3
"105",403527,201339,36,1,1,6,4,7,6,2,"IN",1,17,3,7,7,1,1,2,1,2,3,2,4,2,2,3,4,1,3
"106",302545,201346,80,2,1,1,1,1,2,1,"PA",3,3,3,1,NA,1,4,1,4,1,1,2,2,3,1,7,1,1,1
"107",403821,201353,66,2,1,2,2,7,7,3,"MD",6,4,3,6,6,1,1,1,2,1,2,1,4,3,2,6,2,1,3
"108",406234,201360,80,2,1,2,2,5,5,1,"MA",1,10,3,NA,5,1,2,1,2,1,3,3,3,4,2,7,2,1,3
"109",301636,201377,66,1,5,5,3,5,6,2,"KS",1,19,3,4,4,2,2,2,NA,1,3,3,3,3,NA,6,3,4,3
"110",300047,201384,60,2,1,3,3,6,4,1,"PA",1,17,3,2,1,3,3,1,4,1,3,3,4,2,1,5,3,1,3
"111",403593,201391,34,1,1,NA,NA,7,6,1,"NY",1,19,3,4,6,3,1,1,2,4,NA,NA,5,3,NA,2,NA,1,3
"112",404841,201407,80,1,4,8,5,7,6,4,"CA",1,22,3,7,4,5,1,2,3,1,3,4,4,4,2,7,4,4,3
"113",404376,201421,71,1,1,2,2,2,4,2,"IL",1,14,4,4,6,3,1,1,2,1,3,2,2,2,2,6,2,1,1
"114",403152,201438,72,1,1,3,3,7,6,2,"OH",4,6,4,3,5,3,2,1,2,1,3,3,2,3,2,6,3,1,3
"115",401436,201445,57,1,1,6,4,6,3,2,"IL",6,8,2,4,3,2,2,2,1,2,3,4,4,2,NA,5,4,1,3
"116",402368,201469,36,2,3,7,5,7,4,1,"MA",1,17,4,NA,3,3,3,1,4,1,3,3,3,3,2,3,4,3,3
"117",301572,201476,61,2,2,5,3,1,4,3,"NC",1,16,2,1,5,1,1,1,2,4,1,1,2,4,1,5,3,2,1
"118",402116,201506,58,1,5,7,5,7,6,1,"NY",1,1,5,5,7,1,1,1,2,1,3,1,3,1,2,5,4,4,3
"119",402331,201513,30,1,2,3,3,3,NA,1,"PA",6,17,3,5,5,5,2,1,4,4,1,2,4,4,1,2,3,2,1
"120",405801,201520,80,1,1,7,5,6,6,4,"AZ",3,17,1,6,6,3,3,1,4,1,3,2,2,2,NA,7,4,1,3
"121",400379,201537,NA,1,NA,7,5,7,6,3,"FL",1,NA,3,6,7,2,1,1,2,1,3,2,2,1,2,NA,4,NA,3
"122",301293,201544,72,1,3,3,3,1,NA,4,"CO",1,5,2,NA,4,3,3,1,4,1,3,4,3,4,NA,6,3,3,1
"123",405271,201551,38,1,3,1,1,1,1,3,"AL",6,1,NA,7,6,3,NA,1,1,2,NA,NA,3,NA,NA,3,1,3,1
"124",404379,201568,60,1,1,3,3,6,NA,2,"MI",1,5,3,4,6,3,3,1,2,1,3,3,3,3,2,5,3,1,3
"125",404856,201575,52,2,2,2,2,4,5,3,"VA",1,4,3,1,3,2,5,1,1,1,1,2,5,5,2,4,2,2,2
"126",404971,201599,40,2,1,2,2,4,4,3,"TN",4,8,3,1,5,4,2,1,2,1,2,3,3,3,1,3,2,1,2
"127",401982,201605,23,2,1,6,4,1,2,4,"OR",6,NA,2,1,NA,5,5,1,4,2,1,2,4,3,1,1,4,1,1
"128",302106,201629,54,1,1,2,2,7,6,2,"WI",1,19,3,6,6,2,2,1,1,1,3,1,3,2,2,4,2,1,3
"129",403750,201636,70,2,1,7,5,1,3,4,"AZ",3,16,3,1,3,4,2,1,4,3,1,1,2,3,1,6,4,1,1
"130",403482,201650,23,2,3,3,3,4,NA,4,"CA",6,5,3,1,4,5,3,2,4,4,3,5,3,5,1,1,3,3,2
"131",404783,201674,66,1,2,8,5,3,2,1,"PA",1,21,2,2,2,4,2,1,4,3,1,2,2,3,1,6,4,2,1
"132",405281,201681,60,1,1,3,3,7,6,2,"MO",1,19,4,2,4,2,2,1,2,1,1,2,2,2,2,5,3,1,3
"133",302312,201711,50,2,1,6,4,5,6,3,"GA",1,17,5,7,6,2,1,1,2,1,3,2,3,2,2,4,4,1,3
"134",400035,201728,62,1,1,6,4,7,6,3,"MD",1,20,5,5,6,2,1,1,NA,1,3,2,3,2,2,5,4,1,3
"135",402990,201759,37,2,1,8,5,4,2,4,"AZ",1,17,2,1,2,5,4,1,4,4,1,1,3,2,1,3,4,1,2
"136",403957,201766,73,2,1,2,2,4,6,1,"NH",1,NA,2,7,6,1,2,1,1,1,1,2,2,3,2,6,2,1,2
"137",406404,201773,52,1,1,6,4,6,5,2,"OH",1,20,1,2,4,1,1,1,3,4,3,3,2,2,1,4,4,1,3
"138",401525,201780,76,2,1,7,5,7,7,4,"AZ",1,3,4,5,6,1,1,1,2,1,3,3,2,3,2,7,4,1,3
"139",407215,201797,73,1,1,3,3,4,5,4,"AZ",4,2,3,1,2,2,3,2,4,2,1,3,4,3,1,6,3,1,2
"140",401618,201803,42,2,1,6,4,3,3,1,"NY",4,21,3,5,4,5,3,1,4,3,3,4,3,4,1,3,4,1,1
"141",301376,201810,67,1,1,2,2,4,4,3,"LA",1,4,5,4,4,1,3,1,2,2,3,3,3,3,2,6,2,1,2
"142",401554,201827,64,1,1,4,3,1,4,2,"MN",1,15,3,3,4,4,1,1,4,3,3,3,3,2,1,5,3,1,1
"143",403392,201834,55,2,1,4,3,2,NA,2,"IL",1,15,5,7,1,4,1,1,3,1,3,3,3,3,2,5,3,1,1
"144",405370,201841,29,2,2,7,5,3,2,3,"NC",6,11,2,1,3,3,5,1,4,3,1,2,3,2,1,2,4,2,1
"145",403423,201858,34,2,2,3,3,1,6,1,"NJ",6,8,3,2,4,1,2,1,4,1,1,1,3,1,1,2,3,2,1
"146",405097,201865,45,2,1,7,5,3,4,1,"NH",4,20,3,2,4,5,2,1,4,2,1,5,2,5,1,4,4,1,1
"147",401354,201872,40,1,5,8,5,2,1,1,"MA",1,22,1,1,1,4,5,1,4,4,1,1,2,1,1,3,4,4,1
"148",401427,201889,28,1,1,3,3,5,4,3,"TX",1,3,NA,6,6,1,NA,1,2,4,NA,NA,2,NA,2,2,3,1,3
"149",403474,201896,49,1,3,3,3,2,4,1,"NY",1,20,3,3,4,4,2,1,4,2,1,2,3,4,1,4,3,3,1
"150",401780,201902,37,1,1,7,5,1,2,2,"MI",1,18,2,2,4,4,3,1,4,3,1,3,2,3,1,3,4,1,1
"151",300687,201919,80,2,1,3,3,7,6,3,"AR",1,19,3,7,6,1,1,1,2,1,1,3,2,4,2,7,3,1,3
"152",403182,201926,55,2,4,2,2,2,3,3,"VA",4,13,NA,NA,3,3,NA,1,4,2,NA,NA,2,NA,1,5,2,4,1
"153",404939,201971,80,2,1,1,1,6,3,3,"NC",3,5,3,1,7,2,1,1,2,3,3,2,4,4,2,7,1,1,3
"154",301429,201988,63,2,6,6,4,1,NA,3,"NC",6,17,NA,NA,4,1,NA,1,4,4,NA,NA,4,NA,1,5,4,4,1
"155",402312,201995,66,2,1,3,3,5,6,3,"SC",1,8,3,5,5,1,2,2,NA,1,3,1,2,2,2,6,3,1,3
"156",302154,202004,55,1,1,6,4,6,5,1,"PA",1,8,3,4,NA,4,2,1,4,2,1,4,2,3,2,5,4,1,3
"157",300628,202011,65,1,1,3,3,6,6,2,"IL",1,18,3,4,7,1,2,1,2,1,3,3,3,2,2,6,3,1,3
"158",403546,202042,69,2,1,7,5,1,2,3,"TN",4,14,2,1,3,5,4,1,4,4,1,1,2,3,1,6,4,1,1
"159",406480,202097,70,2,1,2,2,7,7,3,"LA",4,3,5,1,7,1,1,1,3,1,1,1,2,2,2,6,2,1,3
"160",401359,202103,64,1,1,2,2,7,NA,3,"FL",1,13,4,4,7,2,3,1,4,1,1,2,3,3,NA,5,2,1,3
"161",404106,202127,62,1,1,2,2,7,7,3,"KY",1,18,5,6,6,3,1,1,1,1,3,2,2,3,2,5,2,1,3
"162",400183,202141,50,1,1,7,5,6,6,1,"NY",1,NA,3,6,4,1,1,1,3,1,3,2,2,1,2,4,4,1,3
"163",405049,202172,46,2,2,2,2,1,NA,2,"KS",6,1,3,6,NA,2,1,1,2,3,2,4,2,5,NA,4,2,2,1
"164",403498,202189,67,2,6,NA,NA,1,2,3,"NC",1,15,3,1,3,1,3,1,4,2,1,1,2,2,1,6,NA,4,1
"165",407198,202196,43,2,1,4,3,1,2,3,"NC",6,2,NA,1,2,5,NA,1,4,2,NA,NA,5,NA,1,3,3,1,1
"166",406360,202202,30,1,1,6,4,3,2,1,"CT",6,7,2,1,3,5,4,1,4,2,1,2,4,2,1,2,4,1,1
"167",401437,202257,80,1,1,2,2,7,6,2,"MO",1,13,5,6,6,2,1,2,2,2,3,1,2,2,2,7,2,1,3
"168",405089,202271,58,2,1,2,2,1,4,3,"KY",3,4,1,1,3,3,4,1,4,4,1,3,3,3,NA,5,2,1,1
"169",404991,202288,29,1,1,3,3,4,4,3,"VA",6,18,4,7,4,5,2,1,4,1,2,1,4,1,NA,2,3,1,2
"170",403424,202301,71,1,1,3,3,1,4,2,"MO",1,3,3,1,NA,3,1,1,3,2,3,1,3,3,1,6,3,1,1
"171",403661,202318,69,1,1,7,5,7,6,1,"NH",1,17,2,4,5,4,2,2,4,2,1,5,2,2,2,6,4,1,3
"172",406550,202325,80,1,1,8,5,1,2,4,"CA",1,22,2,1,4,4,3,1,4,4,1,1,2,2,NA,7,4,1,1
"173",404959,202332,28,1,1,7,5,2,2,1,"MA",6,20,2,1,2,5,3,1,4,3,1,3,2,3,1,2,4,1,1
"174",301873,202356,22,2,3,6,4,2,NA,3,"TX",6,1,3,NA,NA,3,3,1,4,2,1,3,4,4,1,1,4,3,1
"175",301280,202363,72,2,1,7,5,1,2,2,"IL",4,16,2,1,3,3,2,1,4,4,1,1,2,2,1,6,4,1,1
"176",301594,202370,63,1,1,6,4,4,4,4,"AZ",1,16,2,2,2,3,3,1,NA,3,1,3,2,1,1,5,4,1,2
"177",300597,202387,64,2,1,6,4,3,4,3,"TN",1,22,NA,4,4,1,NA,1,4,2,NA,NA,2,NA,1,5,4,1,1
"178",403930,202400,61,2,1,3,3,1,1,2,"OH",4,1,1,1,3,3,4,1,4,3,1,1,2,3,1,5,3,1,1
"179",404459,202417,60,1,3,2,2,7,NA,3,"KY",4,2,5,4,7,1,1,1,2,1,3,1,5,3,2,5,2,3,3
"180",400198,202431,48,1,1,2,2,7,6,3,"AL",1,9,3,NA,6,1,1,2,1,1,3,2,4,3,2,4,2,1,3
"181",407529,202455,69,2,1,7,5,7,6,1,"RI",6,15,4,4,6,4,3,1,4,2,1,2,2,2,2,6,4,1,3
"182",406784,202462,80,2,1,7,5,7,4,1,"NJ",3,NA,5,NA,4,1,3,2,2,3,1,3,4,3,2,7,4,1,3
"183",401852,202479,77,2,1,3,3,5,6,3,"TX",3,6,5,6,5,2,1,1,1,3,3,3,3,4,2,7,3,1,3
"184",405751,202486,48,2,2,6,4,2,4,3,"MD",6,15,3,3,4,3,5,1,4,3,1,2,3,3,1,4,4,2,1
"185",403135,202493,47,2,2,3,3,1,3,2,"OH",5,4,4,1,7,3,4,1,3,1,1,3,2,2,1,4,3,2,1
"186",402590,202509,43,1,1,2,2,4,NA,4,"CA",6,1,NA,NA,NA,5,NA,2,4,4,NA,NA,4,NA,NA,3,2,1,2
"187",301143,202516,71,2,3,2,2,1,NA,1,"PA",4,14,3,2,5,4,2,1,4,2,1,1,3,3,1,6,2,3,1
"188",404896,202523,31,1,3,2,2,2,3,3,"TX",6,10,2,1,3,5,5,1,4,3,1,3,4,3,1,2,2,3,1
"189",406119,202530,78,2,1,7,5,1,2,4,"CA",1,20,1,1,4,2,2,1,4,1,1,1,2,1,1,7,4,1,1
"190",404200,202547,76,2,2,7,5,1,4,4,"CA",3,22,3,2,4,3,3,1,4,3,1,2,2,2,1,7,4,2,1
"191",403296,202578,46,2,1,3,3,5,6,3,"FL",1,1,4,4,6,4,1,1,3,1,3,3,2,3,2,4,3,1,3
"192",404045,202585,31,2,1,2,2,3,NA,2,"OH",6,15,3,NA,NA,5,3,1,2,1,1,4,3,3,NA,2,2,1,1
"193",300676,202592,29,2,2,5,3,4,4,2,"KS",6,17,1,NA,NA,3,2,1,2,1,1,2,3,2,1,2,3,2,2
"194",300180,202608,69,2,3,4,3,1,6,4,"CA",3,7,3,2,1,2,1,1,2,3,3,2,2,4,1,6,3,3,1
"195",404275,202615,34,2,1,2,2,2,1,3,"TX",6,10,3,4,2,5,5,1,4,2,1,1,4,3,NA,2,2,1,1
"196",405016,202622,23,1,1,5,3,6,NA,3,"FL",6,4,4,5,4,5,3,1,4,1,3,5,3,3,2,1,3,1,3
"197",300796,202639,61,1,1,7,5,3,NA,3,"MD",1,9,1,NA,NA,3,2,1,2,3,1,2,2,3,1,5,4,1,1
"198",401281,202646,57,1,1,7,5,1,2,3,"DC",1,21,2,2,3,5,3,1,4,3,1,2,2,2,1,5,4,1,1
"199",302531,202653,33,2,1,8,5,7,7,3,"TN",1,1,4,7,6,1,2,1,2,1,3,3,3,2,NA,2,4,1,3
"200",400282,202660,NA,2,1,6,4,5,4,4,"CA",1,NA,3,4,4,3,2,1,4,2,3,2,2,1,NA,NA,4,1,3
